keyword,en,ge,hr,it
TestiOne,We had a wonderful time sailing! Our skipper made sure we were comfortable and dont miss on any of the natural wonders the Adriatic has to offer. ,"Wir hatten eine wunderbare Zeit! Unser Skipper ist sicher gegangen, dass wir es gemütlich haben und dass wir keine der Naturwunder der Adria verpassen.",Proveli smo prekrasne trenutke jedreći u Hrvatskoj! Naš se skiper pobrinuo da nam je ugodno i da ne propustimo prirodne ljepote koje Jadran nudi.,Ci siamo divertiti molto! Il nostro skipper ha fatto di tutto per rendere il nostro soggiorno piacevole e per non perdere nessuna delle meraviglie naturali del mare Adriatico.
TestiSecond,"An incredible experience I'll surely repeat. Breathtaking scenery, reasonable prices and high quality sailboats. Thank you!
","Ein unglaubliches Erlebnis, welches ich bestimmt wiederholen werde. Eine atemberaubende Kulisse, angemesene Preise und erstklassige Segelboote. Danke!","Zaista nevjerojatno iskustvo koje ću sigurno ponoviti. Panorama koje oduzima dah, umjerene cijene i jedrilice vrhunske kvalitete. Hvala vam!","Un'esperienza che sicuramente ripeterò. Paesaggi mozzafiato, prezzi ragionevoli e barche a vela di alta qualità. Grazie!"
TestiThird,"A vacation to wish for! Sailing around beautiful islands and enjoying traditional cuisine, exactly what we signed up for.
",Ein Traumurlaub! Segeln um wunderschöne Inseln und die traditionelle Küche genießen - genau was wir wollten!,Odmor za poželjeti! Jedrenje oko prekrasnih otoka i uživanje u tradicionalnoj hrani - upravo ono za što smo se i prijavili. ,"La vacanza dei sogni! Navigare in barca a vela tra le belle isole e gustare la cucina tradizionale, esattamente quello che volevamo."
Austria,Austria,Österreich,Austrija,Austria
France,France,Frankreich,Francuska,Francia
Italy,Italy,Italien,Italija,Italia
MljetTP,"Travel tip: Take your time on Mljet to explore all the natural wonders of the national park. Experience the true beauty of Croatia.
",Reise-Tipp: Nimm dir Zeit auf Mljet um alle Naturwunder des Nationalparks zu erforschen. Erlebe Kroatiens wahre Schönheit.,Sailingly savjet: Na Mljetu iskoristite vrijeme za uživanje u ljepoti netaknute prirode koju vam nudi ovaj nacionalni park. Doživite istinsku ljepotu Hrvatske. ,Consiglio di viaggio: Prendi il tuo tempo sull'isola di Mljet per esplorare tutte le meraviglie naturali del parco nazionale. Sperimenta la vera bellezza della Croazia
CheckYachts,Check available yachts,Verfügbare Yachten ansehen,Provjerite dostupne jahte,Visualizza yachts disponibili
KornatiTP,"Travel tip: Someone once said that Kornati islands are made out of God's tears, stars and breath. Sounds like a pretty good reason to explore them, right?
","Reise-Tipp: Jemand hat einmal gesagt, dass die Kornati Inseln aus Gottes Tränen, Atem und Sternen entstanden sind. Klingt nach einem ziemlich guten Grund, um diese zu erkunden, oder?","Sailingly savjet: Legenda kaže da je kornatsko otočje nastalo od Božjih suza, zvijezda i daha. Zvuči kao prilično dobar razlog da ga posjetite, zar ne?  ","Consiglio di viaggio: Si dice che le isole Kornati o Incornate sono state create con le lacrime di Dio, le stelle e il respiro. Sembra una buona ragione per esplorarle, giusto?"
IstriaTP,"Travel tip: We can't even decide what we like most in Istria. Is it the traditional food or its stunning natural beauty - We'll let you decide.
","Reise-Tipp: Wir können uns gar nicht entscheiden, was uns in Istrien am meisten gefällt. Vielleicht das traditionelle Essen, oder doch die wunderbare Natur - Wir überlassen dir die Entscheidung.",Sailingly savjet: Ne možemo se odlučiti što nam se kod Istre najviše doima. Je li to tradicionalna kuhinja ili pak zadivljujuća raznolikost prirodnih ljepota - vama ćemo prepustiti na odluku. ,Consiglio di viaggio: Non possiamo neppure decidere cosa ci piace di più in Istria - il cibo tradizionale o la sua straordinaria bellezza naturale. Lasceremo che voi decidiate.
TravelSuggestions,"You have your own travel suggestions? Great! Plan your own sailing route and let your dream holiday set sail.
",Du hast deine eigenen Reisevorschläge? Ausgezeichnet! Plane deine eigene Segelroute und lass deine Träume Segel setzen.,Imaš vlastitu ideju za putovanje? Odlično! Isplaniraj vlastitu jedriličarsku rutu i neka tvoj odmor iz snova zaplovi. ,Hai propri consigli di viaggio? Ottimo! Organizza il tuo itinerario in barca a vela e lascia che la tua vacanza dei sogni issi le vele.
SeeAllYachts,See all yachts,Alle Yachten ansehen ,Prouči sve jahte,Vedi tutti gli yachts
BestReads,Best reads,Die beliebtesten Blogs,Istaknuti blogovi / Istaknute teme,I più letti
ReadMore,Read more,Mehr lesen,Pročitaj više,Per saperne di più
ExploreMore,Explore more stories,Mehr Geschichten durchstöbern,Pronađi više priča,Leggi di più
InstaInspiration,#Croatia Insta Inspiration,#Croatia Insta Inspiration,#Croatia Insta Inspiration,#Croatia Insta Inspiration
GetInTouch,Get in touch,Kontaktiere uns,Kontaktiraj nas,Contattaci
YourEmail,Your email,Deine E-Mail,Tvoj email,Il tuo indirizzo email
YourName,Your name,Dein Name,Tvoje ime,Nome e cognome
YourMessage,Your message,Deine Nachricht,Tvoja poruka,Messaggio
SendMessage,Send message,Nachricht senden,Pošalji poruku,Invia la richiesta
ShareForDiscount,Share for discount,Teilen und Rabatt erhalten,Podijeli za popust,Condividi e ottieni lo sconto
SpecialOffers,Special offers,Sonderangebote,Posebne ponude,Offerta speciale
MoreInfo,More info,Mehr info,Više info,Ulteriori informazioni
RequestOffer,Request offer,Angebot anfordern,Zatraži ponudu,Richiedi un'offerta
SuggestedRoutes,Suggested routes,Unsere Routenvorschläge,Preporučene rute,Itinerari consigliati
DubrovnikDesc,Marvel at Dubrovnik's historic old town which'll make you feel like time travelling to the medieval. ,"Bewundere die Altstadt Dubrovniks, in welcher du dich fühlen wirst, als würdest du ins Mittelalter reisen.","Uživanje u šetnji starom gradskom jezgrom Dubrovnika u vama će probuditi osjećaj putovanja u neka daleka, srednjovjekovna vremena.",Ammira il centro storico di Dubrovnik che ti farà sentire veramente nel Medioevo.
MljetDesc,"Visit National park Mljet, the so called Green island and explore Croatia's most forested island bejewelled with a sandy coastline and the crystal clear sea.","Besuche den Nationalpark Mljet, die sogenennte Grüne Insel und erforsche Kroatiens am meisten bewaldete Insel, geschmückt mit sandigen Küsten und dem kristallklaren Meer.","Nacionalni park Mljet, koji od antičkog doba nosi atribut ''zelenog otoka'', okrunjen je netaknutom prirodom, pješčanim obalama i azurno plavim morem. ","Visita il Parco Nazionale di Mljet, la cosiddetta isola verde ed esplora l'isola più boscosa della Croazia ingioiellata con un litorale di sabbia e il mare cristallino."
LastovoDesc," Lastovo, the island of bright stars, is the perfect place for letting your spirits flow and revel in an unbelievable variety of landscapes","Lastovo, die Insel der hellen Sterne, ist der perfekte Ort um die Seele baumeln zu lassen und die Vielfalt verschiedener Landschaften zu genießen.","Lastovo, otok sjajnih zvijezda, savršeno je mjesto za prepuštanje tijelom i duhom u svoj nejvjerojatnoj prirodnoj raznolikosti koju ovaj otočić pruža.","Lastovo, l'isola delle stelle luminose, è il luogo ideale per lasciare l'anima vagare e per godere della varietà di paesaggi."
KorculaDesc,Stroll through Korcula's dreamy cobblestone streets and cherish the warm sun shimmering on the deep blue sea. ,"Spaziere durch Korculas verträumte Kopfsteinpflasterstraßen und genieße die warme Sonne, die sich auf dem tiefblauen Meer wiederspiegelt.",Vrijeme na otoku Korčuli provedite u šetnji sanjivim kamenim ulicama i uživanju u toplim zrakama sunca koje prodiru kroz duboko plavo more.,"Passeggia per le sognanti strade acciottolate di Korcula e godi del caldo sole, che si riflette nel mare blu profondo."
